Class, Fan-In
org/jfree/data/xy/XYDataset,39
org/jfree/chart/ChartTheme,32
org/jfree/data/UnknownKeyException,24
org/jfree/chart/util/GradientPaintTransformer,14
org/jfree/chart/api/PublicCloneable,14
org/jfree/data/time/TimePeriod,13
org/jfree/chart/internal/Args,12
org/jfree/chart/internal/HashUtils,11
org/jfree/data/xy/IntervalXYDataset,11
org/jfree/chart/labels/XYSeriesLabelGenerator,10
org/jfree/data/xy/VectorSeries,9
org/jfree/chart/ChartElementVisitor,9
org/jfree/chart/axis/TickUnitSource,8
org/jfree/data/xy/XIntervalSeries,8
org/jfree/chart/labels/CategorySeriesLabelGenerator,7
org/jfree/data/general/SeriesException,7
org/jfree/chart/internal/CloneUtils,7
org/jfree/chart/plot/PlotState,6
org/jfree/data/xy/XYIntervalSeries,6
org/jfree/chart/labels/XYToolTipGenerator,5
org/jfree/chart/renderer/category/BarPainter,5
org/jfree/data/xy/XYZDataset,5
org/jfree/chart/urls/XYURLGenerator,5
org/jfree/chart/Drawable,5
org/jfree/chart/block/EntityBlockParams,5
org/jfree/chart/plot/ValueAxisPlot,5
org/jfree/chart/block/BlockResult,5
org/jfree/chart/labels/AbstractXYItemLabelGenerator,4
org/jfree/data/xy/YIntervalSeries,4
org/jfree/chart/renderer/PaintScale,4
org/jfree/data/time/TimePeriodFormatException,4
org/jfree/data/time/TimeSeries,4
org/jfree/data/xml/RootHandler,4
org/jfree/data/xy/TableXYDataset,4
org/jfree/data/Values2D,4
org/jfree/data/KeyedValue,4
org/jfree/data/time/Year,3
org/jfree/chart/block/EntityBlockResult,3
org/jfree/chart/urls/PieURLGenerator,3
org/jfree/data/DefaultKeyedValues2D,3
org/jfree/chart/util/ShadowGenerator,3
org/jfree/chart/labels/CategoryToolTipGenerator,3
org/jfree/chart/block/BlockFrame,3
org/jfree/chart/renderer/xy/XYBarPainter,3
org/jfree/chart/axis/NumberTick,3
org/jfree/chart/labels/XYItemLabelGenerator,3
org/jfree/chart/urls/CategoryURLGenerator,3
org/jfree/chart/axis/LogTick,3
org/jfree/chart/swing/SelectionZoomStrategy,3
org/jfree/data/time/ohlc/OHLCItem,3
org/jfree/chart/date/SpreadsheetDate,2
org/jfree/chart/text/AttributedStringUtils,2
org/jfree/data/json/impl/JSONAware,2
org/jfree/data/flow/FlowDataset,2
org/jfree/chart/axis/AxisCollection,2
org/jfree/chart/labels/CategoryItemLabelGenerator,2
org/jfree/data/time/DynamicTimeSeriesCollection$ValueSequence,2
org/jfree/chart/labels/AbstractPieItemLabelGenerator,2
org/jfree/data/xy/OHLCDataset,2
org/jfree/chart/text/TextBlock,2
org/jfree/chart/plot/pie/AbstractPieLabelDistributor,2
org/jfree/chart/encoders/ImageEncoder,2
org/jfree/chart/event/RendererChangeListener,2
org/jfree/chart/annotations/XYAnnotation,2
org/jfree/data/RangeInfo,2
org/jfree/data/xy/XIntervalDataItem,2
org/jfree/chart/labels/PieToolTipGenerator,2
org/jfree/data/xy/VectorDataItem,2
org/jfree/data/io/CSV,2
org/jfree/data/KeyedObjects2D,2
org/jfree/data/general/SeriesChangeEvent,2
org/jfree/chart/internal/SerialUtils,2
org/jfree/chart/axis/CyclicNumberAxis$CycleBoundTick,2
org/jfree/chart/labels/CrosshairLabelGenerator,2
org/jfree/data/json/impl/JSONValue,2
org/jfree/chart/util/AttrStringUtils,2
org/jfree/chart/imagemap/ImageMapUtils,2
org/jfree/chart/annotations/XYAnnotationBoundsInfo,1
org/jfree/chart/axis/TickUnit,1
org/jfree/chart/event/AnnotationChangeListener,1
org/jfree/chart/imagemap/URLTagFragmentGenerator,1
org/jfree/data/statistics/BoxAndWhiskerCalculator,1
org/jfree/chart/text/TextMeasurer,1
org/jfree/chart/imagemap/ToolTipTagFragmentGenerator,1
org/jfree/chart/renderer/xy/DeviationRenderer$State,1
org/jfree/chart/renderer/xy/XYItemRenderer,1
org/jfree/data/time/Week,1
org/jfree/chart/labels/StandardXYToolTipGenerator,1
org/jfree/chart/swing/OverlayChangeListener,1
org/jfree/chart/util/StringUtils,1
org/jfree/chart/internal/LineUtils,1
org/jfree/data/general/Series,1
org/jfree/chart/axis/ValueTick,1
org/jfree/chart/renderer/category/CategoryStepRenderer$State,1
org/jfree/chart/renderer/xy/DeviationRenderer,1
org/jfree/data/xy/DefaultHighLowDataset,1
org/jfree/chart/event/PlotChangeListener,1
org/jfree/chart/swing/MouseWheelHandler,1
org/jfree/data/xy/XYIntervalDataItem,1
org/jfree/chart/renderer/xy/XYBarRenderer$XYBarRendererState,1
org/jfree/chart/swing/PolarChartPanel,1
org/jfree/chart/ChartTransferable,1
org/jfree/data/time/MovingAverage,1
org/jfree/chart/legend/LegendItemCollection,1
org/jfree/data/xy/WindDataset,1
org/jfree/chart/renderer/RendererUtils,1
org/jfree/chart/renderer/xy/StandardXYItemRenderer$State,1
org/jfree/chart/encoders/SunPNGEncoderAdapter,1
org/jfree/chart/annotations/CategoryTextAnnotation,1
org/jfree/chart/plot/pie/PiePlotState,1
org/jfree/chart/plot/Pannable,1
org/jfree/data/xml/ValueHandler,1
org/jfree/chart/renderer/xy/XYItemRendererState,1
org/jfree/chart/swing/ChartMouseListener,1
org/jfree/chart/plot/Zoomable,1
org/jfree/data/xml/KeyHandler,1
org/jfree/data/time/TimePeriodValues,1
org/jfree/chart/renderer/category/CategoryItemRenderer,1
org/jfree/data/xy/XYDomainInfo,1
org/jfree/chart/swing/AbstractOverlay,1
